errores1, errores2, errores3 
14, 12, 8
12, 7, 13
14, 11, 15
8, 10, 10
7, 12, 9
3, 12, 11
11, 6, 8
11, 13, 19
6, 10, 7
6, 10, 8
14, 7, 8
14, 7, 15
9, 8, 10
14, 8, 12
6, 7, 12
7, 10, 12
17, 9, 7
14, 9, 12
7, 7, 11
9, 9, 9
11, 8, 11
16, 13, 9
6, 9, 12
11, 10, 9
7, 5, 8
17, 8, 15
10, 10, 7
11, 8, 10
13, 13, 8
11, 10, 14
7, 11, 7
7, 9, 10
9, 8, 9
9, 10, 11
7, 9, 9
11, 5, 10
10, 8, 12
15, 12, 5
7, 5, 5
8, 13, 9
15, 5, 10
13, 9, 8
11, 17, 7
10, 8, 14
9, 13, 8
13, 8, 10
13, 10, 11
18, 11, 10
14, 13, 9
7, 6, 11
9, 9, 15
14, 13, 11
15, 5, 14
11, 10, 8
5, 5, 12
8, 7, 15
5, 10, 10
10, 10, 10
10, 5, 9
9, 7, 8
11, 13, 11
14, 8, 15
9, 5, 11
10, 13, 10
12, 12, 18
6, 9, 11
12, 13, 13
10, 13, 11
13, 8, 11
9, 6, 8
5, 9, 6
12, 13, 8
5, 10, 14
13, 11, 12
13, 10, 12
11, 12, 12
7, 11, 9
16, 5, 7
5, 10, 8
11, 8, 10
10, 5, 12
11, 14, 12
6, 6, 15
10, 10, 7
10, 10, 6
10, 13, 12
9, 15, 7
14, 8, 9
10, 10, 17
5, 8, 14
10, 10, 13
14, 4, 9
10, 12, 10
8, 8, 19
16, 18, 13
13, 8, 10
14, 16, 9
8, 11, 11
9, 7, 15
16, 6, 10
