errores1, errores2, errores3 
11, 14, 11
10, 15, 12
14, 6, 5
7, 9, 12
12, 11, 6
14, 15, 4
12, 12, 14
11, 6, 9
9, 8, 12
13, 11, 13
12, 7, 9
14, 15, 15
8, 7, 8
13, 15, 11
11, 9, 7
6, 11, 11
13, 10, 14
7, 8, 9
9, 11, 6
9, 9, 11
6, 7, 7
7, 13, 5
8, 6, 9
13, 6, 6
19, 7, 6
6, 11, 9
19, 12, 14
8, 14, 13
9, 9, 17
10, 12, 7
9, 10, 8
9, 12, 14
8, 14, 10
6, 6, 5
10, 12, 9
10, 6, 15
11, 13, 8
10, 13, 13
10, 9, 7
9, 7, 12
12, 7, 13
13, 7, 13
7, 12, 8
5, 15, 13
9, 13, 7
9, 10, 7
16, 8, 10
16, 10, 11
9, 9, 10
9, 8, 9
15, 9, 14
9, 11, 9
8, 8, 15
15, 10, 11
11, 8, 11
7, 13, 8
8, 8, 8
11, 10, 10
11, 15, 10
6, 5, 7
11, 7, 12
9, 8, 10
13, 6, 14
7, 14, 10
14, 9, 11
15, 12, 16
12, 13, 8
8, 16, 13
9, 19, 13
5, 16, 11
5, 10, 10
11, 13, 13
6, 9, 10
13, 8, 5
7, 12, 8
9, 16, 6
7, 9, 4
16, 8, 9
17, 14, 10
11, 6, 12
10, 9, 10
10, 13, 11
14, 10, 7
8, 9, 12
6, 10, 9
12, 8, 19
10, 7, 8
12, 13, 12
9, 12, 10
6, 15, 11
15, 9, 9
18, 13, 9
13, 7, 6
5, 7, 5
8, 9, 15
6, 6, 15
10, 10, 4
19, 9, 10
18, 16, 8
11, 13, 13
