tiempoAprendizaje, errorAprendizaje 
0.85, 32.85 
1.62, 30.32 
0.22, 39.46 
0.21, 27.71 
0.13, 27.62 
1.46, 23.57 
2.27, 21.90 
0.18, 42.67 
0.22, 21.83 
0.38, 22.80 
0.86, 27.62 
0.47, 34.51 
0.79, 26.08 
0.88, 32.47 
0.07, 24.84 
0.45, 27.91 
0.71, 31.66 
0.63, 33.73 
0.71, 24.11 
0.45, 26.41 
0.55, 28.96 
0.78, 36.83 
1.13, 25.04 
0.72, 29.16 
0.43, 19.23 
0.26, 39.76 
1.47, 24.70 
0.55, 26.71 
0.81, 32.49 
0.66, 33.29 
1.59, 22.50 
0.73, 25.42 
0.13, 25.68 
2.09, 27.65 
0.13, 24.77 
0.27, 24.18 
0.85, 28.70 
0.47, 30.39 
0.90, 15.41 
1.17, 28.94 
0.64, 29.04 
1.11, 28.39 
0.79, 34.23 
0.73, 29.70 
0.45, 29.36 
0.35, 29.79 
0.65, 32.76 
1.05, 37.85 
0.23, 35.69 
0.52, 22.89 
2.15, 30.74 
0.37, 37.11 
0.18, 33.67 
0.26, 28.31 
0.85, 21.24 
0.18, 29.61 
1.09, 23.09 
1.09, 28.87 
0.44, 23.49 
1.03, 22.82 
1.80, 32.54 
0.78, 35.23 
1.19, 23.58 
0.20, 32.79 
0.57, 41.09 
0.37, 25.15 
1.28, 35.33 
2.43, 31.76 
0.42, 31.64 
1.33, 21.66 
1.41, 18.91 
0.52, 32.07 
0.46, 27.80 
0.31, 35.59 
0.51, 34.30 
0.55, 34.15 
0.30, 25.80 
1.31, 26.64 
1.22, 21.83 
0.40, 28.31 
0.63, 26.38 
1.07, 35.06 
0.55, 25.00 
0.65, 25.73 
1.15, 23.85 
0.51, 33.31 
0.31, 29.66 
0.37, 29.75 
0.26, 35.95 
0.32, 26.16 
0.31, 32.30 
0.72, 25.68 
0.20, 30.98 
1.18, 33.62 
0.78, 45.65 
0.29, 29.69 
0.35, 38.35 
1.59, 28.64 
0.77, 29.85 
0.66, 29.21 
