tiempoAprendizaje, errorAprendizaje 
-0.70, -3.00 
-0.33, -7.00 
0.12, 9.00 
-1.42, -7.00 
-0.90, 6.00 
0.93, 9.00 
0.29, -2.00 
-0.03, 2.00 
-0.20, -3.00 
0.08, 0.00 
1.05, 3.00 
-0.19, -2.00 
-0.67, 0.00 
-0.47, 0.00 
-0.16, 4.00 
1.08, -10.00 
0.28, -1.00 
-0.89, -3.00 
-0.84, 1.00 
0.49, -2.00 
-0.58, -2.00 
-0.15, -4.00 
0.09, -1.00 
0.66, 7.00 
-0.70, 13.00 
-0.54, -8.00 
-0.25, 5.00 
-0.54, -11.00 
0.14, -8.00 
-1.87, 1.00 
-0.50, 0.00 
-0.27, -8.00 
0.28, -8.00 
-0.40, 1.00 
-0.68, -1.00 
-0.27, -5.00 
0.03, 1.00 
0.37, -6.00 
-0.72, 3.00 
-0.27, -3.00 
0.75, -1.00 
-0.28, 0.00 
0.24, -6.00 
-0.27, -18.00 
-0.01, -2.00 
-0.25, 1.00 
-0.99, 6.00 
0.43, 5.00 
-2.36, -1.00 
0.17, 0.00 
-0.63, 1.00 
-0.02, -2.00 
0.69, -7.00 
-0.17, 4.00 
-0.33, 0.00 
-0.12, -7.00 
-0.09, 0.00 
0.74, 1.00 
-0.87, -3.00 
-1.49, -1.00 
0.38, -1.00 
-1.88, -1.00 
-0.08, -1.00 
-1.53, -10.00 
-0.17, 3.00 
1.40, -1.00 
0.11, 3.00 
0.18, -13.00 
-0.55, -14.00 
0.58, -17.00 
-0.07, -10.00 
-0.72, -4.00 
-0.38, -7.00 
-0.77, 8.00 
-1.22, -6.00 
-0.54, -4.00 
0.16, 1.00 
0.31, 7.00 
-0.53, 7.00 
-0.46, -1.00 
-0.51, 0.00 
-0.03, -4.00 
-0.84, 7.00 
-0.50, -5.00 
-0.73, -7.00 
-0.41, -7.00 
0.55, 2.00 
0.91, -1.00 
-0.50, -4.00 
-0.31, -14.00 
-1.16, 6.00 
0.22, 9.00 
-0.18, 7.00 
-0.16, -2.00 
-0.02, -8.00 
-0.13, -9.00 
-0.23, 6.00 
-0.60, 9.00 
-0.28, 10.00 
0.86, -4.00 
