tiempo1, tiempo2, tiempo3 
0.81, 0.01, 0.33
1.37, 0.28, 0.03
0.10, 0.29, 0.15
0.09, 0.00, 0.20
0.19, 0.13, 0.06
1.16, 1.19, 0.08
2.17, 0.51, 0.42
0.16, 0.15, 0.02
0.36, 0.31, 0.50
0.35, 0.26, 0.59
0.44, 0.89, 0.05
0.71, 0.26, 0.52
0.05, 0.17, 0.70
0.07, 0.78, 0.68
0.05, 0.02, 0.09
0.37, 0.14, 0.58
0.09, 0.46, 0.79
0.72, 0.11, 0.44
0.65, 0.08, 0.16
0.42, 0.15, 0.02
0.62, 0.11, 0.31
0.78, 0.38, 0.01
0.29, 0.45, 1.22
0.64, 0.17, 0.03
0.09, 0.47, 0.21
0.21, 0.02, 0.01
0.03, 1.37, 0.90
0.56, 0.69, 1.04
0.27, 0.91, 0.33
0.56, 0.90, 0.25
0.37, 0.50, 1.63
0.02, 0.56, 0.00
0.13, 0.04, 0.15
0.50, 0.02, 1.83
0.14, 0.06, 0.03
0.69, 0.66, 0.47
0.01, 0.80, 0.49
0.64, 0.67, 0.30
0.08, 0.96, 0.55
0.01, 0.11, 0.94
0.24, 0.64, 0.08
0.07, 0.45, 1.09
0.65, 0.05, 0.07
0.94, 0.96, 0.40
0.02, 0.44, 0.18
0.52, 0.23, 0.46
0.70, 0.09, 0.45
0.91, 0.02, 0.22
0.05, 0.04, 0.22
0.17, 0.63, 0.31
0.22, 1.83, 0.21
0.39, 0.11, 0.39
0.07, 0.20, 0.06
0.34, 0.25, 0.10
0.68, 0.03, 0.05
0.04, 0.16, 0.19
0.50, 1.18, 0.23
0.18, 0.03, 0.92
0.02, 0.39, 0.10
0.05, 0.22, 0.91
0.24, 1.72, 0.50
0.36, 0.43, 0.98
0.13, 1.07, 0.22
0.03, 0.01, 0.17
0.33, 0.02, 0.56
0.47, 0.17, 0.21
0.45, 1.53, 0.69
1.96, 0.19, 0.09
0.02, 0.33, 0.01
0.05, 1.11, 0.18
0.01, 0.01, 1.07
0.20, 0.16, 0.57
0.37, 0.63, 0.20
0.29, 0.10, 0.02
0.49, 0.14, 0.07
0.01, 0.54, 0.30
0.25, 0.44, 0.51
0.10, 1.11, 0.15
0.12, 0.05, 1.00
0.03, 0.29, 0.37
0.06, 0.04, 0.52
0.97, 0.11, 0.86
0.94, 0.61, 0.45
0.15, 0.75, 0.37
0.69, 0.17, 1.29
0.34, 0.82, 0.53
0.34, 0.60, 0.40
0.23, 0.45, 0.57
0.22, 0.46, 0.37
0.33, 0.39, 0.12
0.08, 0.35, 0.27
0.80, 0.11, 0.41
0.24, 0.38, 0.40
0.08, 0.25, 1.05
0.65, 0.64, 0.06
0.29, 0.53, 0.49
0.22, 0.04, 0.39
0.03, 1.25, 0.08
0.27, 0.11, 0.77
0.67, 0.86, 1.26
