tiempo1, tiempo2, tiempo3 
0.45, 0.49, 1.11
0.21, 0.29, 0.46
0.32, 0.16, 0.20
0.22, 0.60, 1.26
0.10, 0.48, 0.62
1.16, 0.04, 0.23
0.54, 0.62, 0.17
0.27, 0.32, 0.25
0.12, 0.24, 0.20
0.34, 0.55, 0.05
1.06, 0.35, 0.01
0.11, 0.23, 0.18
0.02, 0.68, 0.03
0.05, 0.03, 0.52
0.30, 0.17, 0.46
1.20, 0.56, 0.12
0.28, 0.10, 0.00
0.15, 0.37, 0.82
0.02, 0.24, 0.64
0.69, 0.69, 0.20
0.24, 0.08, 0.82
0.20, 0.21, 0.34
0.16, 0.13, 0.07
0.95, 0.18, 0.29
0.04, 0.10, 0.68
0.21, 0.28, 0.68
0.05, 0.15, 0.20
0.29, 1.11, 0.01
0.40, 0.29, 0.26
0.04, 0.46, 1.49
0.14, 0.75, 0.03
0.01, 0.07, 0.22
0.40, 0.08, 0.12
0.24, 0.82, 0.06
0.06, 0.38, 0.42
0.09, 0.07, 0.36
1.12, 1.10, 1.09
0.50, 0.37, 0.13
0.14, 0.96, 0.04
0.23, 0.22, 0.50
1.11, 0.25, 0.36
0.57, 0.88, 0.54
0.26, 0.19, 0.02
0.32, 0.11, 0.59
0.04, 0.06, 0.03
0.11, 0.41, 0.06
0.08, 0.44, 0.71
0.50, 0.13, 0.07
0.08, 2.32, 0.20
0.18, 0.13, 0.01
0.02, 0.05, 0.62
0.24, 0.18, 0.26
0.97, 0.21, 0.28
0.23, 0.19, 0.40
0.05, 0.39, 0.04
0.35, 0.08, 0.47
0.08, 0.08, 0.17
0.98, 0.20, 0.24
0.14, 0.57, 0.58
0.13, 0.55, 1.20
0.58, 0.04, 0.20
0.10, 1.00, 1.08
0.19, 0.06, 0.27
0.09, 0.02, 1.62
0.01, 0.08, 0.11
1.41, 0.23, 0.01
0.41, 0.06, 0.30
0.35, 0.25, 0.17
0.07, 0.37, 0.32
1.32, 1.15, 0.74
0.53, 1.06, 0.07
0.06, 0.52, 0.32
0.16, 0.60, 0.10
0.09, 0.68, 0.27
0.07, 0.73, 0.63
0.19, 0.02, 0.73
0.49, 0.25, 0.33
1.15, 0.56, 0.84
0.11, 0.41, 0.34
0.05, 0.12, 0.44
0.01, 0.05, 0.48
0.14, 0.01, 0.17
0.26, 1.12, 0.24
0.63, 0.64, 1.12
0.62, 0.08, 1.35
0.42, 0.41, 0.83
0.86, 0.19, 0.31
0.97, 0.32, 0.06
0.65, 0.33, 1.15
0.39, 1.08, 0.01
0.03, 0.70, 0.52
0.25, 0.18, 0.03
0.48, 1.08, 0.06
0.44, 0.25, 0.60
0.69, 0.62, 0.71
0.35, 0.21, 0.48
0.11, 0.06, 0.34
0.00, 0.19, 0.41
0.20, 0.58, 0.10
1.16, 0.93, 0.30
